districtid,weekid,dose1,dose2
AP_Guntur,9,33485,7243
AP_Guntur,10,51973,7934
AP_Guntur,11,47332,5396
AP_Guntur,12,63977,9129
AP_Guntur,13,68230,6355
AP_Guntur,14,61606,42091
AP_Guntur,15,60285,21237
AP_Guntur,16,29194,32102
AP_Guntur,17,7299,22036
AP_Guntur,18,9247,15162
AP_Guntur,19,152440,22906
AP_Guntur,20,81969,9366
AP_Guntur,21,88154,7647
AP_Guntur,22,58124,8600
AP_Guntur,23,182062,28971
AP_Guntur,24,124702,28917
AP_Guntur,25,40069,12451
AP_Guntur,26,125905,60879
AP_Guntur,27,38329,56945
AP_Guntur,28,126988,64637
AP_Guntur,29,141089,60748
AP_Guntur,30,90097,42735
AP_Krishna,1,4393,0
AP_Krishna,2,5503,0
AP_Krishna,3,7259,0
AP_Krishna,4,7360,525
AP_Krishna,5,5112,6561
AP_Krishna,6,10344,4324
AP_Krishna,7,10622,3201
AP_Krishna,8,21069,6327
AP_Krishna,9,42785,4674
AP_Krishna,10,51408,6327
AP_Krishna,11,48922,4496
AP_Krishna,12,65440,6132
AP_Krishna,13,83044,4742
AP_Krishna,14,50683,49445
AP_Krishna,15,58323,35153
AP_Krishna,16,20323,42632
AP_Krishna,17,5469,37842
AP_Krishna,18,7482,20487
AP_Krishna,19,168626,11410
AP_Krishna,20,86588,5265
AP_Krishna,21,128215,5890
AP_Krishna,22,56532,3695
AP_Krishna,23,204267,27920
AP_Krishna,24,99712,41564
AP_Krishna,25,29328,19280
AP_Krishna,26,40128,63668
AP_Krishna,27,85962,47349
AP_Krishna,28,127294,45350
AP_Krishna,29,153529,32553
AP_Krishna,30,70395,20777
AP_Kurnool,1,3572,0
AP_Kurnool,2,3057,0
AP_Kurnool,3,9757,0
AP_Kurnool,4,4804,507
AP_Kurnool,5,6159,5033
AP_Kurnool,6,6973,2790
AP_Kurnool,7,6273,3637
AP_Kurnool,8,11088,3614
AP_Kurnool,9,30788,4010
AP_Kurnool,10,59180,3822
AP_Kurnool,11,39595,3154
AP_Kurnool,12,67498,5689
AP_Kurnool,13,43961,3888
AP_Kurnool,14,37187,41220
AP_Kurnool,15,43758,28287
AP_Kurnool,16,12550,35190
AP_Kurnool,17,3352,13041
AP_Kurnool,18,9545,14680
AP_Kurnool,19,108733,4713
AP_Kurnool,20,62562,4565
AP_Kurnool,21,60533,1417
AP_Kurnool,22,28129,416
AP_Kurnool,23,119318,11516
AP_Kurnool,24,94180,20846
AP_Kurnool,25,9569,9939
AP_Kurnool,26,94945,57333
AP_Kurnool,27,29049,41838
AP_Kurnool,28,75143,79479
AP_Kurnool,29,72343,51593
AP_Kurnool,30,88877,40411
AP_Prakasam,1,6383,0
AP_Prakasam,2,2615,0
AP_Prakasam,3,4817,0
AP_Prakasam,4,7876,137
AP_Prakasam,5,3414,3506
AP_Prakasam,6,6550,2843
AP_Prakasam,7,5824,1596
AP_Prakasam,8,10784,2653
AP_Prakasam,9,25546,6845
AP_Prakasam,10,44152,3720
AP_Prakasam,11,52215,4021
AP_Prakasam,12,44883,4827
AP_Prakasam,13,57871,4532
AP_Prakasam,14,37395,32415
AP_Prakasam,15,44386,34129
AP_Prakasam,16,19314,34225
AP_Prakasam,17,1626,7033
AP_Prakasam,18,17266,26542
AP_Prakasam,19,114760,7894
AP_Prakasam,20,61460,14224
AP_Prakasam,21,72663,3336
AP_Prakasam,22,24697,1243
AP_Prakasam,23,157027,17632
AP_Prakasam,24,78892,16326
AP_Prakasam,25,24046,12173
AP_Prakasam,26,96432,32374
AP_Prakasam,27,19397,31970
AP_Prakasam,28,52507,120999
AP_Prakasam,29,64084,42403
AP_Prakasam,30,72828,46193
AP_S.P.S. Nellore,1,5659,0
AP_S.P.S. Nellore,2,6518,0
AP_S.P.S. Nellore,3,14431,0
AP_S.P.S. Nellore,4,5320,656
AP_S.P.S. Nellore,5,8164,8992
AP_S.P.S. Nellore,6,8471,4880
AP_S.P.S. Nellore,7,11531,4787
AP_S.P.S. Nellore,8,13202,4419
AP_S.P.S. Nellore,9,35573,9774
AP_S.P.S. Nellore,10,44788,7970
AP_S.P.S. Nellore,11,33394,4696
AP_S.P.S. Nellore,12,42868,6163
AP_S.P.S. Nellore,13,54787,6013
AP_S.P.S. Nellore,14,30394,43730
AP_S.P.S. Nellore,15,47084,26938
AP_S.P.S. Nellore,16,24135,31388
AP_S.P.S. Nellore,17,6041,18563
AP_S.P.S. Nellore,18,6682,5596
AP_S.P.S. Nellore,19,114953,5796
AP_S.P.S. Nellore,20,55848,5349
AP_S.P.S. Nellore,21,59906,5062
AP_S.P.S. Nellore,22,29155,2188
AP_S.P.S. Nellore,23,122740,24697
AP_S.P.S. Nellore,24,55345,54629
AP_S.P.S. Nellore,25,30696,37913
AP_S.P.S. Nellore,26,61176,49403
AP_S.P.S. Nellore,27,13419,37921
AP_S.P.S. Nellore,28,97356,77812
AP_S.P.S. Nellore,29,71386,23916
AP_S.P.S. Nellore,30,46777,19438
AP_Srikakulam,1,3703,0
AP_Srikakulam,2,4355,0
AP_Srikakulam,3,14156,0
AP_Srikakulam,4,3603,713
AP_Srikakulam,5,6284,7414
AP_Srikakulam,6,4330,2380
AP_Srikakulam,7,8282,5183
AP_Srikakulam,8,12839,4627
AP_Srikakulam,9,21728,2641
AP_Srikakulam,10,24670,2067
AP_Srikakulam,11,39516,3238
AP_Srikakulam,12,50040,6822
AP_Srikakulam,13,44219,3288
AP_Srikakulam,14,29347,21652
AP_Srikakulam,15,38616,19202
AP_Srikakulam,16,9149,24813
AP_Srikakulam,17,2425,10777
AP_Srikakulam,18,2515,9004
AP_Srikakulam,19,117288,1581
AP_Srikakulam,20,61290,1293
AP_Srikakulam,21,47487,3231
AP_Srikakulam,22,55863,2318
AP_Srikakulam,23,134029,21196
AP_Srikakulam,24,62803,23839
AP_Srikakulam,25,11928,19136
AP_Srikakulam,26,47357,36410
AP_Srikakulam,27,14540,25097
AP_Srikakulam,28,58995,43982
AP_Srikakulam,29,77802,23430
AP_Srikakulam,30,19245,11638
AP_Visakhapatnam,1,6006,0
AP_Visakhapatnam,2,8039,0
AP_Visakhapatnam,3,7407,0
AP_Visakhapatnam,4,6649,240
AP_Visakhapatnam,5,7909,8113
AP_Visakhapatnam,6,15229,6592
AP_Visakhapatnam,7,11508,3280
AP_Visakhapatnam,8,18438,5457
AP_Visakhapatnam,9,30892,3734
AP_Visakhapatnam,10,46378,7258
AP_Visakhapatnam,11,93075,4740
AP_Visakhapatnam,12,63493,11033
AP_Visakhapatnam,13,57367,7651
AP_Visakhapatnam,14,43085,47116
AP_Visakhapatnam,15,59797,29471
AP_Visakhapatnam,16,29289,35098
AP_Visakhapatnam,17,6611,17744
AP_Visakhapatnam,18,7184,21754
AP_Visakhapatnam,19,146523,10452
AP_Visakhapatnam,20,118662,6747
AP_Visakhapatnam,21,140166,4895
AP_Visakhapatnam,22,83834,5130
AP_Visakhapatnam,23,192034,21423
AP_Visakhapatnam,24,135976,41206
AP_Visakhapatnam,25,22396,19144
AP_Visakhapatnam,26,86242,47130
AP_Visakhapatnam,27,32270,67771
AP_Visakhapatnam,28,104558,53137
AP_Visakhapatnam,29,128879,87970
AP_Visakhapatnam,30,165151,48873
AP_Vizianagaram,1,3415,0
AP_Vizianagaram,2,2757,0
AP_Vizianagaram,3,5930,0
AP_Vizianagaram,4,2496,342
AP_Vizianagaram,5,5681,6132
AP_Vizianagaram,6,4290,2328
AP_Vizianagaram,7,5300,1619
AP_Vizianagaram,8,7420,2129
AP_Vizianagaram,9,16756,1670
AP_Vizianagaram,10,24519,2042
AP_Vizianagaram,11,30876,2325
AP_Vizianagaram,12,44161,6507
AP_Vizianagaram,13,47849,2791
AP_Vizianagaram,14,21117,22842
AP_Vizianagaram,15,31407,18846
AP_Vizianagaram,16,10382,23565
AP_Vizianagaram,17,919,6666
AP_Vizianagaram,18,1862,4244
AP_Vizianagaram,19,88118,3624
AP_Vizianagaram,20,54682,3133
AP_Vizianagaram,21,45424,501
AP_Vizianagaram,22,40962,575
AP_Vizianagaram,23,110323,7708
AP_Vizianagaram,24,59650,14356
AP_Vizianagaram,25,9420,4523
AP_Vizianagaram,26,38443,27804
AP_Vizianagaram,27,21093,14780
AP_Vizianagaram,28,35467,15428
AP_Vizianagaram,29,67105,13452
AP_Vizianagaram,30,83003,10085
AP_West Godavari,1,5329,0
AP_West Godavari,2,4225,0
AP_West Godavari,3,7166,0
AP_West Godavari,4,3233,104
AP_West Godavari,5,12704,5827
AP_West Godavari,6,11580,4344
AP_West Godavari,7,8869,3571
AP_West Godavari,8,14021,3356
AP_West Godavari,9,26653,5047
AP_West Godavari,10,35978,5506
AP_West Godavari,11,58311,4435
AP_West Godavari,12,51579,10806
AP_West Godavari,13,51194,9952
AP_West Godavari,14,25803,47006
AP_West Godavari,15,48527,29720
AP_West Godavari,16,25452,28287
AP_West Godavari,17,2163,26860
AP_West Godavari,18,2033,530
AP_West Godavari,19,134268,28111
AP_West Godavari,20,93977,2911
AP_West Godavari,21,117487,1003
AP_West Godavari,22,53604,389
AP_West Godavari,23,244099,6086
AP_West Godavari,24,104704,18569
AP_West Godavari,25,46736,19464
AP_West Godavari,26,98887,23525
AP_West Godavari,27,26124,18445
AP_West Godavari,28,114523,82791
AP_West Godavari,29,107760,28804
AP_West Godavari,30,105351,16514
AP_Y.S.R. Kadapa,1,4040,0
AP_Y.S.R. Kadapa,2,2878,0
AP_Y.S.R. Kadapa,3,4669,0
AP_Y.S.R. Kadapa,4,3965,552
AP_Y.S.R. Kadapa,5,7616,6379
AP_Y.S.R. Kadapa,6,7687,2311
AP_Y.S.R. Kadapa,7,3599,1416
AP_Y.S.R. Kadapa,8,15717,1786
AP_Y.S.R. Kadapa,9,38263,2710
AP_Y.S.R. Kadapa,10,72296,5525
AP_Y.S.R. Kadapa,11,27116,2294
AP_Y.S.R. Kadapa,12,50555,6526
AP_Y.S.R. Kadapa,13,41166,6442
AP_Y.S.R. Kadapa,14,32423,36562
AP_Y.S.R. Kadapa,15,35731,32761
AP_Y.S.R. Kadapa,16,22875,42650
AP_Y.S.R. Kadapa,17,292,3000
AP_Y.S.R. Kadapa,18,2905,11757
AP_Y.S.R. Kadapa,19,108856,9551
AP_Y.S.R. Kadapa,20,64019,5699
AP_Y.S.R. Kadapa,21,39686,2280
AP_Y.S.R. Kadapa,22,43812,3407
AP_Y.S.R. Kadapa,23,134627,17974
AP_Y.S.R. Kadapa,24,71843,26127
AP_Y.S.R. Kadapa,25,6155,7326
AP_Y.S.R. Kadapa,26,69432,46091
AP_Y.S.R. Kadapa,27,18518,20066
AP_Y.S.R. Kadapa,28,46446,61147
AP_Y.S.R. Kadapa,29,47404,24375
AP_Y.S.R. Kadapa,30,18648,8566
AR_Anjaw,1,147,0
AR_Anjaw,2,107,0
AR_Anjaw,3,21,0
AR_Anjaw,4,112,0
AR_Anjaw,5,206,117
AR_Anjaw,6,99,115
AR_Anjaw,7,56,18
AR_Anjaw,8,30,38
AR_Anjaw,9,107,135
AR_Anjaw,10,288,77
AR_Anjaw,11,273,50
AR_Anjaw,12,206,41
AR_Anjaw,13,219,61
AR_Anjaw,14,209,110
AR_Anjaw,15,473,147
AR_Anjaw,16,185,123
AR_Anjaw,17,334,209
AR_Anjaw,18,355,4
AR_Anjaw,19,85,7
AR_Anjaw,20,349,0
AR_Anjaw,21,1374,6
AR_Anjaw,22,661,69
AR_Anjaw,23,1108,85
AR_Anjaw,24,1722,40
AR_Anjaw,25,813,105
AR_Anjaw,26,417,122
AR_Anjaw,27,450,258
AR_Anjaw,28,154,226
AR_Anjaw,29,266,124
AR_Anjaw,30,96,262
AR_Changlang,1,91,0
AR_Changlang,2,429,0
AR_Changlang,3,182,0
AR_Changlang,4,266,0
AR_Changlang,5,243,260
AR_Changlang,6,460,132
AR_Changlang,7,806,255
AR_Changlang,8,605,166
AR_Changlang,9,773,139
AR_Changlang,10,460,185
AR_Changlang,11,194,185
AR_Changlang,12,1340,427
AR_Changlang,13,5410,650
AR_Changlang,14,2149,592
AR_Changlang,15,3068,374
AR_Changlang,16,1419,632
AR_Changlang,17,1072,263
AR_Changlang,18,2901,10
AR_Changlang,19,1118,73
AR_Changlang,20,3764,157
AR_Changlang,21,2495,133
AR_Changlang,22,20941,50
AR_Changlang,23,2143,36
AR_Changlang,24,4404,459
AR_Changlang,25,7015,3600
AR_Changlang,26,2149,1744
AR_Changlang,27,3509,2514
AR_Changlang,28,2986,1532
AR_Changlang,29,2259,900
AR_Changlang,30,939,1438
AR_East Kameng,1,99,0
AR_East Kameng,2,0,0
AR_East Kameng,3,106,0
AR_East Kameng,4,50,0
AR_East Kameng,5,263,124
AR_East Kameng,6,123,27
AR_East Kameng,7,190,69
AR_East Kameng,8,100,36
AR_East Kameng,9,99,119
AR_East Kameng,10,163,119
AR_East Kameng,11,187,74
AR_East Kameng,12,886,122
AR_East Kameng,13,1519,148
AR_East Kameng,14,927,120
AR_East Kameng,15,788,135
AR_East Kameng,16,577,467
AR_East Kameng,17,532,261
AR_East Kameng,18,1289,4
AR_East Kameng,19,422,3
AR_East Kameng,20,1065,7
AR_East Kameng,21,1733,20
AR_East Kameng,22,1234,25
AR_East Kameng,23,1534,19
AR_East Kameng,24,1742,70
AR_East Kameng,25,975,881
AR_East Kameng,26,2146,844
AR_East Kameng,27,536,697
AR_East Kameng,28,268,545
