stateid,weekid,dose1,dose2
GA,25,64429,38377
GA,26,58469,42474
GA,27,37450,36859
GA,28,41482,26878
GA,29,32680,22663
GA,30,25430,34850
GJ,1,37122,0
GJ,2,142070,0
GJ,3,190031,0
GJ,4,235074,2
GJ,5,40933,49728
GJ,6,9317,91390
GJ,7,493837,137631
GJ,8,465601,141434
GJ,9,565065,40975
GJ,10,1238215,23598
GJ,11,1494133,171440
GJ,12,1565671,239782
GJ,13,777934,295808
GJ,14,488931,435854
GJ,15,522574,542723
GJ,16,514930,519408
GJ,17,458355,514193
GJ,18,268557,54191
GJ,19,1031333,174103
GJ,20,1137124,175536
GJ,21,1299114,229532
GJ,22,1286088,194394
GJ,23,1732098,445295
GJ,24,1036539,471789
GJ,25,569450,308322
GJ,26,919249,444008
GJ,27,1071045,491868
GJ,28,1077978,491941
GJ,29,1693070,691602
GJ,30,2217760,731263
HP,1,5194,0
HP,2,17391,0
HP,3,26548,0
HP,4,27408,449
HP,5,17826,11382
HP,6,6358,8662
HP,7,19965,24530
HP,8,45478,18159
HP,9,86720,16137
HP,10,96216,6943
HP,11,171215,4517
HP,12,316877,14656
HP,13,306340,28920
HP,14,211198,48268
HP,15,207336,78505
HP,16,136934,98532
HP,17,85340,73015
HP,18,116814,552
HP,19,94894,381
HP,20,92799,582
HP,21,62900,1784
HP,22,226888,4330
HP,23,631361,31560
HP,24,368035,135788
HP,25,44938,250204
HP,26,81829,181931
HP,27,235879,127003
HP,28,208385,106633
HP,29,240951,87535
HP,30,760570,152737
HR,1,41486,0
HR,2,51793,0
HR,3,13821,0
HR,4,68718,590
HR,5,26450,18663
HR,6,13841,42413
HR,7,43546,12757
HR,8,106522,28108
HR,9,353390,25684
HR,10,368204,14043
HR,11,504758,17302
HR,12,494257,35052
HR,13,617594,121770
HR,14,325976,154159
HR,15,179394,94592
HR,16,361976,149404
HR,17,403805,201816
HR,18,434462,29461
HR,19,404594,42523
HR,20,389453,29997
HR,21,481040,44666
HR,22,493967,83130
HR,23,951790,151909
HR,24,672968,256587
HR,25,299067,188721
HR,26,409281,251858
HR,27,281337,192072
HR,28,523051,318346
HR,29,633916,336860
HR,30,539785,349022
JH,1,3773,0
JH,2,27360,0
JH,3,55309,0
JH,4,109170,1978
JH,5,63590,9605
JH,6,30135,12174
JH,7,59648,37133
JH,8,101424,78358
JH,9,249983,69101
JH,10,649138,33757
JH,11,151132,14961
JH,12,469427,32623
JH,13,423342,49999
JH,14,157007,74550
JH,15,96703,73956
JH,16,66709,82413
JH,17,162802,93894
JH,18,323837,12200
JH,19,223532,23200
JH,20,307654,38800
JH,21,480880,46834
JH,22,549434,108269
JH,23,774200,117535
JH,24,411847,99645
JH,25,419764,170520
JH,26,426748,202489
JH,27,325369,124553
JH,28,656480,204476
JH,29,480952,147515
JH,30,540228,174393
JK,1,5146,0
JK,2,15668,0
JK,3,19648,0
JK,4,76768,722
JK,5,68420,5536
JK,6,36289,9429
JK,7,66458,9418
JK,8,73822,31109
JK,9,107215,54887
JK,10,113114,34887
JK,11,154072,13534
JK,12,358537,31203
JK,13,263001,39658
JK,14,332605,75128
JK,15,304779,74739
JK,16,240266,100981
JK,17,77052,51755
JK,18,104877,4427
JK,19,281672,5436
JK,20,196504,22221
JK,21,172502,17637
JK,22,282829,19319
JK,23,291914,37027
JK,24,369468,107633
JK,25,280445,74628
JK,26,219413,148004
JK,27,174117,164160
JK,28,219244,175570
JK,29,328255,146468
JK,30,311680,117916
KA,1,77983,0
KA,2,154497,0
KA,3,70305,0
KA,4,108968,15
KA,5,103128,114712
KA,6,52937,100763
KA,7,63018,21409
KA,8,309007,76270
KA,9,992096,66312
KA,10,838031,41585
KA,11,1099291,40401
KA,12,1502191,82193
KA,13,920740,172286
KA,14,965443,399747
KA,15,710690,428356
KA,16,379604,405960
KA,17,340046,463260
KA,18,472324,117672
KA,19,1168977,101615
KA,20,1504680,139247
KA,21,1609968,143002
KA,22,1237917,205473
KA,23,2778143,312052
KA,24,1457967,487015
KA,25,1156202,607289
KA,26,1025841,575966
KA,27,866836,618860
KA,28,929092,612816
KA,29,1591595,747905
KA,30,1177729,530225
KL,1,20263,0
KL,2,112281,0
KL,3,137506,0
KL,4,66436,0
KL,5,68561,38833
KL,6,82385,65387
KL,7,266903,82935
KL,8,286070,92459
KL,9,390816,70974
KL,10,467076,38955
KL,11,1516422,32540
KL,12,854454,70813
KL,13,887737,181061
KL,14,629977,365230
KL,15,281158,316503
KL,16,117554,409013
KL,17,238917,226940
KL,18,197568,28873
KL,19,546842,24248
KL,20,887365,112227
KL,21,885676,80716
KL,22,733256,188591
KL,23,829185,550951
KL,24,656728,624472
KL,25,381780,520910
KL,26,445090,538167
KL,27,887317,926404
KL,28,1234251,466643
KL,29,1305579,311750
KL,30,1864857,292218
LA,1,321,0
LA,2,629,0
LA,3,858,0
LA,4,1014,71
LA,5,2952,529
LA,6,3629,329
LA,7,4975,1049
LA,8,16350,926
LA,9,7582,2367
LA,10,1399,1382
LA,11,12989,-22
LA,12,11811,1282
LA,13,2639,2749
LA,14,4557,14163
LA,15,3270,9633
LA,16,8048,2030
LA,17,3613,764
LA,18,8160,7
LA,19,22031,20
LA,20,23530,33
LA,21,13316,69
LA,22,8127,96
LA,23,6862,9816
LA,24,5132,11037
LA,25,7582,2400
LA,26,3585,1439
LA,27,800,1102
LA,28,1311,4375
LA,29,1345,2313
LA,30,1109,2866
LD,1,718,0
LD,2,73,0
LD,3,26,0
LD,4,742,0
LD,5,114,81
LD,6,135,26
LD,7,115,32
LD,8,1066,720
LD,9,623,628
LD,10,539,194
LD,11,1411,140
LD,12,4572,736
LD,13,4011,427
LD,14,3092,785
LD,15,1917,505
LD,16,1070,1179
LD,17,1212,1353
LD,18,1654,115
LD,19,2086,23
LD,20,6130,28
LD,21,7684,105
LD,22,5120,81
LD,23,2127,325
LD,24,831,1065
LD,25,852,2122
LD,26,1010,2340
LD,27,692,1432
LD,28,600,1529
LD,29,613,890
LD,30,827,1014
MH,1,63569,0
MH,2,164398,0
MH,3,202536,0
MH,4,216572,170
MH,5,215443,45244
MH,6,160121,113244
MH,7,296899,100919
MH,8,681065,152199
MH,9,942257,177480
MH,10,1073250,128956
MH,11,2474201,74323
MH,12,2473839,160842
MH,13,1879952,335766
MH,14,1477045,613961
MH,15,1310209,752567
MH,16,991799,662868
MH,17,1077530,888011
MH,18,627715,181306
MH,19,1375447,133559
MH,20,1568454,250105
MH,21,1415689,401441
MH,22,1440773,309258
MH,23,2912137,503333
MH,24,2025706,870945
MH,25,1527907,887485
MH,26,1738839,1298785
MH,27,1017462,801039
MH,28,1811093,1348164
MH,29,1571135,755234
MH,30,1644580,866488
ML,1,607,0
ML,2,2361,0
ML,3,2515,0
ML,4,7320,91
ML,5,16523,1592
ML,6,10786,1923
ML,7,7128,1902
ML,8,10312,5466
ML,9,10290,10536
ML,10,10160,10000
ML,11,7139,1367
ML,12,17841,5365
ML,13,22441,5708
ML,14,32140,7907
ML,15,79815,8679
ML,16,37901,7371
ML,17,51381,6154
ML,18,33455,92
ML,19,29111,168
ML,20,12953,141
ML,21,24645,226
ML,22,87909,383
ML,23,72202,1434
ML,24,62869,6993
ML,25,62582,14007
ML,26,64914,22242
ML,27,58666,44507
ML,28,52216,34162
ML,29,44129,27889
ML,30,36387,31054
MN,1,916,0
MN,2,1836,0
MN,3,4048,0
MN,4,13830,55
MN,5,16712,1299
MN,6,10789,899
MN,7,13567,2286
MN,8,7923,5503
MN,9,5794,9586
MN,10,5835,10125
MN,11,1764,4015
MN,12,5619,9618
MN,13,13302,6624
MN,14,22319,5755
MN,15,77829,5937
MN,16,61348,5193
MN,17,43660,2830
MN,18,36440,341
MN,19,36977,270
MN,20,40799,580
MN,21,44617,516
MN,22,26947,711
MN,23,37680,905
MN,24,113145,2642
MN,25,132645,8924
MN,26,146530,19403
MN,27,106194,53225
MN,28,79047,48176
MN,29,42589,33042
MN,30,23004,27890
MP,1,28993,0
MP,2,246354,0
MP,3,48050,0
MP,4,215440,3
MP,5,83365,3806
MP,6,13079,155853
MP,7,173094,72374
MP,8,244648,102524
MP,9,721547,121546
MP,10,762733,40898
MP,11,964061,35577
MP,12,1355695,65850
MP,13,1680423,158824
MP,14,395867,195346
MP,15,100502,151316
MP,16,158351,328523
MP,17,271204,258266
MP,18,554907,62412
MP,19,1070688,31114
MP,20,1698452,48389
MP,21,1159215,109117
MP,22,1008031,112871
MP,23,4480345,302148
MP,24,1337997,455718
MP,25,1345678,976357
MP,26,1040003,225132
MP,27,2118982,534334
MP,28,3543073,620699
MP,29,2381061,472778
MP,30,2453364,451853
MZ,1,1507,0
MZ,2,4567,0
MZ,3,855,0
MZ,4,354,75
MZ,5,2750,1365
MZ,6,5924,2210
MZ,7,9457,2822
MZ,8,8441,701
MZ,9,6045,850
MZ,10,2631,1194
MZ,11,470,345
MZ,12,11148,5597
MZ,13,34211,7571
MZ,14,32637,7684
MZ,15,32855,3680
MZ,16,13280,1792
MZ,17,5623,2052
MZ,18,9067,4
MZ,19,6951,78
MZ,20,7508,63
MZ,21,14544,889
MZ,22,60115,239
MZ,23,85371,422
MZ,24,34476,5188
MZ,25,28051,21394
MZ,26,20261,24471
MZ,27,14234,31035
MZ,28,10286,20325
MZ,29,10972,4821
MZ,30,6087,9840
NL,1,1480,0
NL,2,1955,0
NL,3,563,0
NL,4,4949,0
NL,5,10760,3438
NL,6,7607,1562
NL,7,4492,549
NL,8,6971,3567
NL,9,7507,5901
NL,10,8497,5999
NL,11,5098,1487
NL,12,15361,3643
NL,13,33191,4381
NL,14,28707,4520
NL,15,22323,5243
NL,16,12673,6099
NL,17,9820,5388
NL,18,13442,78
NL,19,15068,75
NL,20,19283,119
NL,21,50681,299
NL,22,61452,700
NL,23,61613,1797
NL,24,52805,9622
NL,25,45765,23291
NL,26,42855,25080
NL,27,47226,22436
NL,28,23702,13892
NL,29,13878,7811
NL,30,9561,10963
OR,1,85672,0
OR,2,69237,0
OR,3,62072,0
OR,4,139802,3
OR,5,59049,70538
OR,6,21283,62750
OR,7,138775,31964
OR,8,221962,104007
OR,9,510834,53989
OR,10,430553,26073
OR,11,650768,45388
OR,12,1210986,88834
OR,13,656520,119490
OR,14,472718,190291
OR,15,204496,140252
OR,16,118250,200530
OR,17,199788,271268
OR,18,403837,35874
OR,19,578266,29373
OR,20,539813,34276
OR,21,569870,124846
OR,22,671263,176927
OR,23,1497362,215934
OR,24,479221,183594
OR,25,730829,510608
OR,26,463002,355093
OR,27,597236,536092
OR,28,796722,307479
OR,29,1143479,234799
OR,30,1282572,324652
PB,1,16180,0
PB,2,29129,0
PB,3,18751,0
PB,4,27589,62
PB,5,24720,12229
PB,6,32491,20203
PB,7,59316,13338
PB,8,85862,18972
PB,9,151231,19958
PB,10,207963,16206
PB,11,380030,17945
PB,12,584632,32394
PB,13,527457,55250
PB,14,470970,101050
PB,15,405841,135508
PB,16,251366,142759
PB,17,215032,120393
PB,18,154749,20148
PB,19,163372,35310
PB,20,272281,31263
PB,21,290780,24039
PB,22,165350,33066
PB,23,611485,117069
PB,24,564016,216170
PB,25,334440,158426
PB,26,440082,208682
PB,27,234134,199921
PB,28,472618,212914
PB,29,668889,239647
PB,30,544924,315711
PY,1,721,0
PY,2,1256,0
PY,3,915,0
PY,4,2259,68
PY,5,3740,739
PY,6,1066,398
PY,7,4916,1011
PY,8,8444,1400
PY,9,14880,1801
PY,10,17829,942
PY,11,18143,1320
PY,12,12935,1936
PY,13,62923,4104
PY,14,11770,6185
PY,15,8532,9243
PY,16,6300,10890
PY,17,6317,10418
PY,18,10720,405
PY,19,18689,287
PY,20,22439,518
PY,21,37002,1191
PY,22,82298,3087
PY,23,62436,6926
PY,24,37659,9195
PY,25,25635,35009
PY,26,37986,20767
PY,27,27745,10740
PY,28,26086,6912
PY,29,24601,4988
PY,30,19944,6756
RJ,1,41506,0
RJ,2,247298,0
RJ,3,113018,0
RJ,4,135261,0
RJ,5,179243,35063
RJ,6,11908,176983
RJ,7,872478,90871
RJ,8,616685,112596
RJ,9,1094145,178331
RJ,10,1074390,23048
RJ,11,916463,137280
RJ,12,2691273,299136
RJ,13,802225,234302
RJ,14,866756,512982
RJ,15,471638,315994
RJ,16,528315,370911
RJ,17,669452,309619
RJ,18,702719,30525
RJ,19,703015,49492
RJ,20,715696,109899
RJ,21,1698337,107923
RJ,22,1112591,52853
RJ,23,2547139,388611
RJ,24,1093236,514352
RJ,25,302544,301341
RJ,26,1101723,800707
RJ,27,1053777,727450
RJ,28,991567,1137880
RJ,29,1666848,680939
RJ,30,1760919,692451
SK,1,292,0
SK,2,1408,0
SK,3,3382,0
SK,4,2953,0
SK,5,4180,699
SK,6,5425,766
SK,7,7574,2791
SK,8,13895,3329
SK,9,12503,2529
SK,10,8783,2809
SK,11,5816,-261
SK,12,33745,2576
SK,13,39431,5491
SK,14,14185,11141
SK,15,7785,11726
SK,16,3408,10773
SK,17,1428,5225
SK,18,8466,43
SK,19,4572,16
SK,20,676,61
SK,21,33676,85
SK,22,85132,112
SK,23,72812,1686
SK,24,44863,23584
SK,25,25728,33281
SK,26,22258,17637
SK,27,17658,8405
SK,28,8590,3601
SK,29,6523,2638
SK,30,3675,7299
TG,1,25718,0
TG,2,68817,0
TG,3,40977,0
TG,4,73813,1929
TG,5,67727,77733
TG,6,13908,48002
TG,7,70657,31052
TG,8,101039,49366
TG,9,136218,11761
TG,10,185426,10709
TG,11,401078,18384
TG,12,577584,47562
TG,13,821537,70783
TG,14,915083,136500
TG,15,657886,125830
TG,16,230705,184711
TG,17,61390,249388
TG,18,3397,9671
TG,19,219348,171938
TG,20,602025,56939
TG,21,1213222,40586
TG,22,1196291,42555
TG,23,1165899,91356
TG,24,1089154,215383
TG,25,478232,285436
TG,26,450695,421780
TG,27,201798,541368
TG,28,179307,542890
TG,29,340091,410166
TG,30,484202,258336
TN,1,25994,0
TN,2,40783,0
TN,3,46698,0
TN,4,65500,559
TN,5,56364,11069
TN,6,26731,18690
TN,7,243312,27654
TN,8,480158,50795
TN,9,600072,58833
TN,10,593206,44101
TN,11,392731,45258
