districtid,vaccineratio
TG_Siddipet,6.565417061847951
JK_Jammu,6.582029379408529
JH_Giridih,6.591682454945076
PB_Shahid Bhagat Singh Nagar,6.618809865643817
UP_Mirzapur,6.621826300447267
KA_Kolar,6.6380472766183525
MP_Ujjain,6.640220116059516
AS_Kamrup Metropolitan,6.659140499938431
AP_Srikakulam,6.672886341424261
TN_Karur,6.702924220323679
CT_Narayanpur,6.735584581076776
HR_Kaithal,6.743232663876427
UP_Mathura,6.784910287263533
KA_Kodagu,6.795989724561153
AP_Vizianagaram,6.813629889937193
KA_Dakshina Kannada,6.841768053035659
TN_Madurai,6.8724398400730164
MP_Bhopal,6.875087122024448
WB_Bankura,6.875222016564773
UP_Banda,6.941698998053585
TN_Thiruvallur,6.966052032799554
TN_Krishnagiri,6.971246334584711
WB_Jhargram,6.98620791658193
RJ_Udaipur,6.989220173294823
KA_Udupi,6.995156365973663
TN_Chengalpattu,7.001056003628683
TN_Tiruchirappalli,7.001173162887599
HR_Gurugram,7.004316789577603
GJ_Surendranagar,7.034988704675116
UP_Shrawasti,7.038797979036271
UP_Gorakhpur,7.051609433684046
GJ_Junagadh,7.066029321589832
MH_Jalgaon,7.070366573451177
WB_Cooch Behar,7.07448298198653
KA_Ramanagara,7.076913479533567
WB_North 24 Parganas,7.100096366621457
JH_Saraikela-Kharsawan,7.112555298907724
TN_Namakkal,7.119189666947893
RJ_Jaisalmer,7.124880504126265
UT_Almora,7.126792130025663
WB_Kalimpong,7.132331755505248
TN_Cuddalore,7.132357171624188
CT_Raigarh,7.143890992270074
CT_Kabeerdham,7.155411744893786
UP_Bareilly,7.170180939933508
WB_Birbhum,7.186284877572603
HR_Bhiwani,7.208359077334981
MH_Wardha,7.2175066312997345
UP_Pilibhit,7.22316688026364
RJ_Alwar,7.2231717114804725
WB_Jalpaiguri,7.2375966527883175
KL_Alappuzha,7.259126674856566
TG_Warangal Urban,7.279727967683379
TN_Nilgiris,7.292296039503008
JK_Srinagar,7.311621876473362
KA_Chikkaballapura,7.312245751047582
AS_Dima Hasao,7.3395338578045735
JH_Bokaro,7.351444236273147
TG_Khammam,7.353751787875454
UP_Rampur,7.3751689978898956
KL_Kollam,7.385122309505396
RJ_Nagaur,7.394465174129353
JH_West Singhbhum,7.410053159699286
UP_Ayodhya,7.412426834759118
TN_Tiruvannamalai,7.417448043774244
UP_Ghaziabad,7.424519689875521
UP_Agra,7.4577658793977175
KA_Yadgir,7.503191593832859
PB_Barnala,7.503974001201032
TN_Ranipet,7.508405021067416
PB_Pathankot,7.511606505653007
TN_Theni,7.542158859470469
HR_Jhajjar,7.545663809295166
AP_Y.S.R. Kadapa,7.554751537803439
AS_Cachar,7.591507769366498
MH_Raigad,7.60277167853454
MP_Sehore,7.633633607471425
MP_Hoshangabad,7.652126069263351
HR_Yamunanagar,7.703974615472838
JH_Latehar,7.706575552611394
TN_Tirunelveli,7.708384866647639
RJ_Ganganagar,7.758072325825909
KA_Davanagere,7.7715931081548515
CT_Dakshin Bastar Dantewada,7.804053297503079
KA_Chitradurga,7.815869909688368
CT_Durg,7.834647478961884
HR_Sirsa,7.846106399383192
UP_Sitapur,7.870968643452015
TG_Mahabubnagar,7.876863771910684
MP_Rajgarh,7.951778537155403
WB_Howrah,7.991643489960581
KL_Thiruvananthapuram,8.001673277670662
WB_Hooghly,8.010327465043831
HR_Mahendragarh,8.014566274100414
RJ_Kota,8.01651824608386
KA_Gadag,8.028855131530197
UP_Mau,8.051705770136016
MH_Nashik,8.063874417627325
TN_Thiruvarur,8.075338224532302
TN_Thoothukkudi,8.084458105038086
MP_Chhatarpur,8.100944108409369
MP_Betul,8.137879310184193
WB_Nadia,8.143258994482865
TG_Mahabubabad,8.169553234203274
